Tweet,Sentiment
@jeremycorbyn What a shame @jeremycorbyn that you still fail to support the wishes of the #Trafford voters who vote… https://t.co/TbFLJrnJKb,negative
"RT @GMWalkingFest: Joining an organised walk is the perfect way to make new friends and have an enjoyable chin wag, with a cup of tea at th…",positive
.@UKLabour leader @jeremycorbyn was in #Trafford this morning to celebrate his party taking control of the council… https://t.co/PE8x7N6IG3,neutral
"OK, kind of missing the excitement. Spent a few election nights in that club. #Trafford #LocalElections2019 https://t.co/eD9iXtp3wN",positive
"Joining an organised walk is the perfect way to make new friends and have an enjoyable chin wag, with a cup of tea… https://t.co/kOUhWmRrJl",positive
RT @AnneDuffield1: From NOC to a majority of 9... what a night... congratulations to my fab new colleagues.. @KarinaCarter19 @BenHartleyAOM…,neutral
Opening hours over the bank holiday weekend are the same as usual except on Monday we will be open 12-8pm serving o… https://t.co/Z7bpuZ5mWm,negative
RT @everglade_UK: Red is definately the colour.Arched door in #Trafford ⚽️⚽️@VEKA_plc @Universalarches https://t.co/Rh67ZiDcjy,neutral
Great night for .@Trafford_Labour with 6 gains making sure the Tories stay out of Trafford Town hall for many years… https://t.co/uCKURuxzs0,positive
RT @TraffordFIS: #Trafford Directory is searched by thousands of people every week looking for things do for themselves and their families.…,neutral
And I tell you what - the gains in #Trafford were where parties focused hard work &amp; hard miles of campaigning ; kno… https://t.co/IaWrC2Z9cS,negative
"#Trafford Centre owner Intu has said it is bracing for a ""challenging'' 2019, as new chief Matthew Roberts set out… https://t.co/F5A4Ft77qL",neutral
RT @DominicHardwick: On my way to the Manchester count after an election that has already seen FANTASTIC results for the @LibDems. Well don…,positive
#Trafford Directory is searched by thousands of people every week looking for things do for themselves and their fa… https://t.co/UYKkM1G9kz,neutral
Pleased to hear we won #Trafford Council. A real political battleground there. Great result #Labour,positive
#LocalElections2019,neutral
Jeremy Corbyn in #Trafford congratulating local Labour Party - says results nationally are ‘interesting’… https://t.co/0aqFIxgqVZ,neutral
RT @AnneDuffield1: From NOC to a majority of 9... what a night... congratulations to my fab new colleagues.. @KarinaCarter19 @BenHartleyAOM…,neutral
@bbclaurak I campaigned in #trafford and that’s simply not true,negative
On my way to the Manchester count after an election that has already seen FANTASTIC results for the @LibDems. Well… https://t.co/BmLHlsSrSw,positive
RT @Jane_Brophy: So proud of our amazing @TraffordLibDems Team who worked so hard to elect our brilliant new #Trafford representatives Cllr…,positive
RT @LisaMeakin2: Lib Dem secretary Jane Brophy says she’s “optimistic” for gains in Timperley and Village. #LE2019 #Trafford https://t.co/r…,neutral
What are the #Trafford local elections 2019 results?,neutral
#Labour  https://t.co/ldwvCvzWwx,neutral
So proud of our amazing @TraffordLibDems Team who worked so hard to elect our brilliant new #Trafford representativ… https://t.co/5FKQK9k9Ri,positive
@seananstee Possibly a @MENnewsdesk reader we can only hope that the tables will turn when people grow up congratul… https://t.co/oF6PsRXH0X,neutral
RT @LisaMeakin2: Tory leader Sean Anstee faces a difficult night. Thirteen blue seats up for grabs compared to Labour’s eight. “The result…,negative
Despite the absolute disgrace at a national level our local #Labour Team work so hard. Delighted that #Trafford is… https://t.co/BsaMdNLPUB,negative
RT @hitsmcrnews: Talking points from #LocalElections19 in Greater Manchester:,neutral
#Trafford is back under Labour control for the first time si…,negative
"RT @WalkRideAlty: If you fancy a sociable ride around #SaleTown along traffic-free routes on Saturday 18th May, @SaleRide @letsrideuk will…",neutral
Talking points from #LocalElections19 in Greater Manchester:,neutral
#Trafford is back under Labour control for the first… https://t.co/H73VySlK89,neutral
RT @BBCRadioManc: We have mixed local election results across Greater Manchester this morning... The big news was in #Trafford where Lab ga…,neutral
RT @AnneDuffield1: From NOC to a majority of 9... what a night... congratulations to my fab new colleagues.. @KarinaCarter19 @BenHartleyAOM…,neutral
RT @redknighttrader: Graham Brady will be out of a job soon if he doesn’t tell May to go in the morning #Trafford #Altrincham #Brexit #Elec…,neutral
"RT @WalkRideAlty: If you fancy a sociable ride around #SaleTown along traffic-free routes on Saturday 18th May, @SaleRide @letsrideuk will…",neutral
We have mixed local election results across Greater Manchester this morning... The big news was in #Trafford where… https://t.co/NYwjwpm4PZ,neutral
RT @redknighttrader: Graham Brady will be out of a job soon if he doesn’t tell May to go in the morning #Trafford #Altrincham #Brexit #Elec…,neutral
RT @AnneDuffield1: From NOC to a majority of 9... what a night... congratulations to my fab new colleagues.. @KarinaCarter19 @BenHartleyAOM…,neutral
From NOC to a majority of 9... what a night... congratulations to my fab new colleagues.. @KarinaCarter19… https://t.co/hopFKT6rj5,positive
Graham Brady will be out of a job soon if he doesn’t tell May to go in the morning #Trafford #Altrincham #Brexit #Elections2019,positive
[Job] Research and Development Scientist | Company: Tenmat Ltd. | Location: Trafford ENG  United Kingdom |… https://t.co/s3rBm9msOB,neutral
[Job] Quality Inspector | Company: Tenmat Ltd. | Location: Trafford ENG  United Kingdom | #Trafford #Ceramic… https://t.co/FNG5i0G6T6,neutral
[Job] Production Operative - CNC Turner (Mazak) | Company: Tenmat Ltd. | Location: Trafford ENG  United Kingdom |… https://t.co/1ZfS2pV1lG,neutral
The @Conservatives dropping 15% in the vote share in #Trafford is shocking! It's supposed to the Tory flagship coun… https://t.co/s3bPyD7X4P,neutral
Labour take #Flixton from Conservatives in the #Trafford #LocalElecctions2019 https://t.co/6f7hc0EMbt,neutral
RT @FairlyOrganic: Another #Green councillor for #Altrincham! #LocalElections2019 #Trafford https://t.co/dhBidYK6JZ,neutral
RT @FairlyOrganic: Another #Green councillor for #Altrincham! #LocalElections2019 #Trafford https://t.co/dhBidYK6JZ,neutral
Another #Green councillor for #Altrincham! #LocalElections2019 #Trafford https://t.co/dhBidYK6JZ,neutral
RT @MadDogsHomeless: Sundays cook was our regulars @annacfryer @LudoTC with their chicken Biryani.,neutral
A hardworking couple who do lots in the…,neutral
"RT @MancElects: Prediction for TRAFFORD Council. Gains for Lab, Lib Dems and Greens at the expense of the Tories. Labour to take overall co…",neutral
RT @weare_pure: The Mayor of #Trafford @TomWRoss visited our interns from our #SupportedInternship and they delivered individual presentati…,neutral
RT @JenniferBagchi: #Trafford WE NEED YOUR HELP...,neutral
We are looking for a local business to donate space (with working kitchen) for a few hou…,neutral
RT @pureinsight1628: We are getting requests for clothing from young people who are struggling financially. Ideally it's nice if these item…,positive
RT @HalecroftRec: We're hiring! #Customer Service Advisor #Part-time based in #Trafford Park #Salary up to £22K with great benefits. Get in…,positive
RT @HalecroftRec: We're hiring! #Product Analyst based in #Trafford Park #salary up to £30K with great benefits. #Stock #online #eCommerce…,positive
"Zoe Barr starts off our new series on the transforming power of Jesus, based on the 7 signs from John’s gospel.",neutral
Cli… https://t.co/NBULH4fBM4,neutral
